conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2013841787714990128,Wed Jan 21 05:11:12 +0000 2026,0,@Telkomsel balas dm,2013841787714990128,,Telkomsel,in,,0,2,0,https://x.com/undefined/status/2013841787714990128,1258888134210641920,
2013841342267265034,Wed Jan 21 05:09:26 +0000 2026,0,benerin la sinyalmu udah mau 3 hari lo cuma satu titik padahal sinyal di rumah?? udh beli mahal masa kek gini aneh kali @Telkomsel https://t.co/SgUHAkwnPB,2013841342267265034,https://pbs.twimg.com/media/G_KaBklaoAEO7_9.jpg,,in,,0,2,0,https://x.com/undefined/status/2013841342267265034,1720452402690867200,
2010996943938601355,Wed Jan 21 05:08:43 +0000 2026,0,@Telkomsel @fithhh Udah kirim email tapi masih diganggu Tsurvey https://t.co/a2EKEnJIsZ,2013841164462657919,https://pbs.twimg.com/media/G_KZ3I4aoAMBAOt.jpg,Telkomsel,in,,0,1,0,https://x.com/undefined/status/2013841164462657919,80272463,
2013840882034975056,Wed Jan 21 05:07:36 +0000 2026,0,@Telkomsel eh anjing paketan gua masih 15gb anjing demi allah kok lag bgt si tolol,2013840882034975056,,Telkomsel,in,,0,1,0,https://x.com/undefined/status/2013840882034975056,1238000093447385088,
2013607597107224990,Wed Jan 21 05:07:20 +0000 2026,0,@DilaPong @DilaPong Maaf yaa Kak Dila jadi gak nyaman Kalo Kakak berkendala DM bisa coba inbox https://t.co/uJg91LRNEk yaaa. Thanks-Zepi,2013840814464737304,,DilaPong,in,,0,1,0,https://x.com/undefined/status/2013840814464737304,1075673058931806208,
2013569292608942570,Wed Jan 21 04:58:08 +0000 2026,0,@BasiSusu97557 Waah Kak @BasiSusu97557 pengguna Telkomsel juga ya? Sudah berapa lama nih Kak gunakannya-Destri,2013838501113172211,,BasiSusu97557,in,,0,0,0,https://x.com/undefined/status/2013838501113172211,255409050,
2013837777125900783,Wed Jan 21 04:57:27 +0000 2026,0,@iesahxxi Kak @iesahxxi Dm-nya akan segera dibalas ya. Mohon ditunggu -Dya,2013838326688817425,,iesahxxi,in,,0,0,0,https://x.com/undefined/status/2013838326688817425,255409050,
2013588223046623476,Wed Jan 21 04:56:59 +0000 2026,0,@riaaslii Hai Kak @riaaslii DM-nya sudah dibalas. Lanjut interaksinya di DM ya Kak -Hanna,2013838211315818889,,riaaslii,in,,0,0,0,https://x.com/undefined/status/2013838211315818889,255409050,
2013834547532833090,Wed Jan 21 04:56:35 +0000 2026,0,@Telkomsel @Mytelkomsel bentar aku lihat di aplikasi dulu ya min. semoga bisa lewat aplikasi.,2013838110501584967,,Telkomsel,in,,0,0,0,https://x.com/undefined/status/2013838110501584967,1931053418073952256,
2013605235944505459,Wed Jan 21 04:56:07 +0000 2026,0,@llanalland Pastikan Kak Lana follow dulu akun Telkomsel-nya ya lalu nanti DM infoin datanya agar segera dicek lebih lanjut -Hanna,2013837994222825806,,llanalland,in,,0,0,0,https://x.com/undefined/status/2013837994222825806,255409050,
2013834547532833090,Wed Jan 21 04:55:43 +0000 2026,0,@ziiiecoustic Hai Kak @ziiiecoustic . Duh maaf ya Kak :(. Mengenai kendala DM Via saranin Kakak menghubungi DM Instagram @mytelkomsel DM Instagram @telkomsel atau Inbox https://t.co/6WZ1WdNSQf ya :) -Via,2013837893639569658,,ziiiecoustic,in,,0,1,0,https://x.com/undefined/status/2013837893639569658,255409050,
2013837777125900783,Wed Jan 21 04:55:16 +0000 2026,0,@Telkomsel min tolong baca dm saya ya. Terima kasih,2013837777125900783,,Telkomsel,in,,0,1,0,https://x.com/undefined/status/2013837777125900783,872885233,
2013608263850623205,Wed Jan 21 04:54:58 +0000 2026,0,@borntobepinkk Halo Kak untuk DM-nya sudah dibalas. Lanjut interaksinya di DM ya Kak -Hanna,2013837701737304296,,borntobepinkk,in,,0,0,0,https://x.com/undefined/status/2013837701737304296,255409050,
2013834547532833090,Wed Jan 21 04:54:00 +0000 2026,0,@Telkomsel gak bisa dm min.,2013837459810066761,,Telkomsel,in,,0,1,0,https://x.com/undefined/status/2013837459810066761,1931053418073952256,
2013534159407641016,Wed Jan 21 04:53:45 +0000 2026,0,@Fajrihzz Kak Fajri mohon maaf pastikan tidak mengirim capture yang tertera data pribadi di mention ya untuk menghindari hal yang tidak diinginkan. Boleh kirimkan datanya via DM ya Kak -Hanna,2013837397147164890,,Fajrihzz,in,,0,0,0,https://x.com/undefined/status/2013837397147164890,255409050,
2013809929258152016,Wed Jan 21 04:53:22 +0000 2026,0,@myXLCare Halo jaringan internet di Mentawai Tua Pejat zero. Tolonglah utk di benahi jaringan disana krn sy akan pindah kesana. Bukan jaringan pd nomor sy tp mmg tower XL tdk tersedia disana. Disana org hy menggunakan telkomsel. Tdk ada nomor lain. Sy mau inbox ttpi tdk bs.,2013837299440853088,,myXLCare,in,,0,1,0,https://x.com/undefined/status/2013837299440853088,1378509774174621702,
